date,time,hour,tempF,temp
6/25/2018,15:53:00,15,89,31.66666667
6/25/2018,16:53:00,16,89,31.66666667
6/25/2018,17:53:00,17,87,30.55555556
6/25/2018,18:53:00,18,85,29.44444444
6/25/2018,19:53:00,19,83,28.33333333
6/25/2018,20:53:00,20,83,28.33333333
6/25/2018,21:53:00,21,82,27.77777778
6/25/2018,22:53:00,22,81,27.22222222
6/25/2018,23:53:00,23,81,27.22222222
6/26/2018,0:53:00,0,80,26.66666667
6/26/2018,1:53:00,1,79,26.11111111
6/26/2018,2:53:00,2,78,25.55555556
6/26/2018,3:53:00,3,79,26.11111111
6/26/2018,4:53:00,4,77,25
6/26/2018,5:53:00,5,77,25
6/26/2018,6:53:00,6,81,27.22222222
6/26/2018,7:53:00,7,84,28.88888889
6/26/2018,8:53:00,8,87,30.55555556
6/26/2018,9:53:00,9,88,31.11111111
6/26/2018,10:53:00,10,89,31.66666667
6/26/2018,11:53:00,11,90,32.22222222
6/26/2018,12:53:00,12,91,32.77777778
6/26/2018,13:53:00,13,90,32.22222222
6/26/2018,14:53:00,14,91,32.77777778
6/26/2018,15:53:00,15,91,32.77777778
6/26/2018,16:53:00,16,90,32.22222222
6/26/2018,17:53:00,17,88,31.11111111
6/26/2018,18:53:00,18,85,29.44444444
6/26/2018,19:53:00,19,83,28.33333333
6/26/2018,20:53:00,20,81,27.22222222
6/26/2018,21:53:00,21,80,26.66666667
6/26/2018,22:53:00,22,79,26.11111111
6/26/2018,23:53:00,23,78,25.55555556
6/27/2018,0:53:00,0,78,25.55555556
6/27/2018,1:53:00,1,78,25.55555556
6/27/2018,2:53:00,2,78,25.55555556
6/27/2018,3:53:00,3,78,25.55555556
6/27/2018,4:53:00,4,77,25
6/27/2018,5:53:00,5,77,25
6/27/2018,6:53:00,6,80,26.66666667
6/27/2018,7:53:00,7,84,28.88888889
6/27/2018,8:53:00,8,86,30
6/27/2018,9:53:00,9,88,31.11111111
6/27/2018,10:53:00,10,91,32.77777778
6/27/2018,11:53:00,11,91,32.77777778
6/27/2018,12:53:00,12,94,34.44444444
6/27/2018,13:53:00,13,95,35
6/27/2018,14:28:00,14,90,32.22222222
6/27/2018,14:53:00,14,86,30
6/27/2018,15:11:00,15,86,30
6/27/2018,15:53:00,15,87,30.55555556
6/27/2018,16:53:00,16,88,31.11111111
6/27/2018,17:53:00,17,89,31.66666667
6/27/2018,18:53:00,18,86,30
6/27/2018,19:53:00,19,84,28.88888889
6/27/2018,20:53:00,20,82,27.77777778
6/27/2018,21:53:00,21,81,27.22222222
6/27/2018,22:53:00,22,81,27.22222222
6/27/2018,23:53:00,23,79,26.11111111
6/28/2018,0:53:00,0,79,26.11111111
6/28/2018,1:53:00,1,79,26.11111111
6/28/2018,2:53:00,2,79,26.11111111
6/28/2018,3:53:00,3,79,26.11111111
6/28/2018,4:53:00,4,78,25.55555556
6/28/2018,5:53:00,5,78,25.55555556
6/28/2018,6:53:00,6,81,27.22222222
6/28/2018,7:53:00,7,84,28.88888889
6/28/2018,8:53:00,8,86,30
6/28/2018,9:53:00,9,88,31.11111111
6/28/2018,10:53:00,10,90,32.22222222
6/28/2018,11:53:00,11,90,32.22222222
6/28/2018,12:53:00,12,86,30
6/28/2018,13:53:00,13,89,31.66666667
6/28/2018,14:16:00,14,91,32.77777778
6/28/2018,14:50:00,14,84,28.88888889
6/28/2018,14:53:00,14,84,28.88888889
6/28/2018,15:53:00,15,89,31.66666667
6/28/2018,16:53:00,16,90,32.22222222
6/28/2018,17:53:00,17,88,31.11111111
6/28/2018,18:53:00,18,85,29.44444444
6/28/2018,19:53:00,19,83,28.33333333
6/28/2018,20:53:00,20,81,27.22222222
6/28/2018,21:53:00,21,81,27.22222222
6/28/2018,22:53:00,22,80,26.66666667
6/28/2018,23:53:00,23,80,26.66666667
6/29/2018,0:53:00,0,80,26.66666667
6/29/2018,1:53:00,1,79,26.11111111
6/29/2018,2:53:00,2,78,25.55555556
6/29/2018,3:53:00,3,78,25.55555556
6/29/2018,4:53:00,4,78,25.55555556
6/29/2018,5:53:00,5,78,25.55555556
6/29/2018,6:53:00,6,81,27.22222222
6/29/2018,7:53:00,7,84,28.88888889
6/29/2018,8:53:00,8,87,30.55555556
6/29/2018,9:53:00,9,89,31.66666667
6/29/2018,10:53:00,10,91,32.77777778
6/29/2018,11:53:00,11,92,33.33333333
6/29/2018,12:53:00,12,93,33.88888889
6/29/2018,13:53:00,13,93,33.88888889
6/29/2018,14:53:00,14,93,33.88888889
6/29/2018,15:53:00,15,91,32.77777778
6/29/2018,16:53:00,16,89,31.66666667
6/29/2018,17:53:00,17,88,31.11111111
6/29/2018,18:53:00,18,85,29.44444444
6/29/2018,19:53:00,19,83,28.33333333
6/29/2018,20:53:00,20,82,27.77777778
6/29/2018,21:53:00,21,81,27.22222222
6/29/2018,22:53:00,22,80,26.66666667
6/29/2018,23:53:00,23,80,26.66666667
6/30/2018,0:53:00,0,79,26.11111111
6/30/2018,1:53:00,1,79,26.11111111
6/30/2018,2:53:00,2,79,26.11111111
6/30/2018,3:53:00,3,79,26.11111111
6/30/2018,4:53:00,4,78,25.55555556
6/30/2018,5:53:00,5,78,25.55555556
6/30/2018,6:53:00,6,81,27.22222222
6/30/2018,7:53:00,7,84,28.88888889
6/30/2018,8:51:00,8,88,31.11111111
6/30/2018,8:53:00,8,86,30
6/30/2018,9:51:00,9,90,32.22222222
6/30/2018,9:53:00,9,89,31.66666667
6/30/2018,10:53:00,10,91,32.77777778
6/30/2018,11:53:00,11,92,33.33333333
6/30/2018,12:53:00,12,94,34.44444444
6/30/2018,13:53:00,13,93,33.88888889
6/30/2018,14:53:00,14,94,34.44444444
6/30/2018,15:53:00,15,94,34.44444444
6/30/2018,16:53:00,16,92,33.33333333
6/30/2018,17:53:00,17,88,31.11111111
6/30/2018,18:53:00,18,85,29.44444444
6/30/2018,19:53:00,19,83,28.33333333
6/30/2018,20:53:00,20,82,27.77777778
6/30/2018,21:53:00,21,81,27.22222222
6/30/2018,22:53:00,22,80,26.66666667
6/30/2018,23:53:00,23,79,26.11111111
7/1/2018,0:53:00,0,79,26.11111111
7/1/2018,1:53:00,1,78,25.55555556
7/1/2018,2:53:00,2,78,25.55555556
7/1/2018,3:53:00,3,77,25
7/1/2018,4:53:00,4,77,25
7/1/2018,5:53:00,5,77,25
7/1/2018,6:53:00,6,80,26.66666667
7/1/2018,7:53:00,7,83,28.33333333
7/1/2018,8:53:00,8,86,30
7/1/2018,9:53:00,9,88,31.11111111
7/1/2018,10:53:00,10,89,31.66666667
7/1/2018,11:53:00,11,91,32.77777778
7/1/2018,12:53:00,12,93,33.88888889
7/1/2018,13:53:00,13,94,34.44444444
7/1/2018,14:53:00,14,94,34.44444444
7/1/2018,15:53:00,15,94,34.44444444
7/1/2018,16:53:00,16,91,32.77777778
7/1/2018,17:53:00,17,89,31.66666667
7/1/2018,18:53:00,18,86,30
7/1/2018,19:53:00,19,83,28.33333333
7/1/2018,20:53:00,20,82,27.77777778
7/1/2018,21:53:00,21,81,27.22222222
7/1/2018,22:53:00,22,80,26.66666667
7/1/2018,23:53:00,23,79,26.11111111
7/2/2018,0:53:00,0,78,25.55555556
7/2/2018,1:53:00,1,78,25.55555556
7/2/2018,2:53:00,2,78,25.55555556
7/2/2018,3:53:00,3,78,25.55555556
7/2/2018,4:53:00,4,77,25
7/2/2018,5:53:00,5,77,25
7/2/2018,6:53:00,6,80,26.66666667
7/2/2018,7:53:00,7,84,28.88888889
7/2/2018,8:13:00,8,84,28.88888889
7/2/2018,8:34:00,8,85,29.44444444
7/2/2018,8:53:00,8,86,30
7/2/2018,9:53:00,9,88,31.11111111
7/2/2018,10:53:00,10,90,32.22222222
7/2/2018,11:53:00,11,91,32.77777778
7/2/2018,12:53:00,12,94,34.44444444
7/2/2018,13:53:00,13,94,34.44444444
7/2/2018,14:53:00,14,94,34.44444444
